source,target,weight
21,0,0.0163907556138338
111,0,0.016633399866932803
112,0,0.007955449482895784
114,0,0.007524454477050414
119,0,0.008532423208191127
126,0,0.0088339222614841
127,0,0.008090614886731393
132,0,0.008912655971479501
133,0,0.008992805755395683
338,0,0.00865051903114187
345,0,0.008865248226950355
168,1,2812.939521800281
169,1,21137.18030014796
177,1,10944.511327569224
167,2,1434.102968593145
170,2,7530.120481927711
171,2,8183.306055646482
172,2,1111.9759813188034
174,2,417.5365344467641
163,3,3441.156228492773
167,3,931.9664492078285
173,3,464.9000464900046
186,4,4325.259515570934
193,4,6377.551020408164
195,4,13178.703215603586
196,4,4221.190375685943
326,4,2979.7377830750893
188,5,3144.654088050315
189,5,1338.1506757660914
197,5,2281.021897810219
159,6,9633.911368015413
324,6,5537.098560354374
325,6,4480.286738351255
329,6,7127.583749109052
330,6,3571.4285714285716
332,6,5574.136008918617
8,7,8488.964346349745
166,7,2177.2262138036144
176,7,3471.017007983339
7,8,8488.964346349745
121,8,721.5007215007215
152,8,3650.967506389193
154,8,9765.625
164,8,11809.163911195088
165,8,17439.832577607252
176,8,8090.614886731392
130,9,23337.222870478414
145,9,7692.307692307693
146,9,11460.004584001834
149,9,10419.922892570594
150,9,6060.606060606061
153,9,9225.09225092251
125,10,10509.721492380453
127,10,17708.517797060387
128,10,17528.483786152497
129,10,15078.407720144753
147,10,9960.1593625498
49,11,10324.179227751394
50,11,13987.970345502868
51,11,9765.625
53,11,8779.63125548727
54,11,3629.7640653357535
114,11,1941.3706076490002
41,12,3916.960438699569
58,12,621.5040397762585
78,12,338.7533875338753
84,12,1161.0356437942646
59,13,5138.746145940391
62,13,7358.351729212656
83,13,5282.620179609086
86,13,4666.355576294914
67,14,1206.8549360366885
81,14,428.0821917808219
92,14,100.50251256281406
16,15,6082.72506082725
35,15,6644.518272425249
117,15,40469.445568595715
15,16,6082.72506082725
34,16,2159.3608291945584
97,16,2871.0881424059717
109,16,1495.2153110047848
44,17,1737.0158068438425
54,17,8410.428931875525
96,17,10932.546190007652
114,17,3835.8266206367475
107,18,15172.204521316948
108,18,9259.25925925926
109,18,23266.635644485807
111,18,5903.18772136954
112,18,4125.412541254125
47,19,2050.020500205002
55,19,12125.621438098702
61,19,2678.810608090008
77,19,4506.534474988734
190,19,7524.4544770504135
39,20,2715.9152634437805
48,20,5055.611729019211
138,20,2090.3010033444816
398,20,5952.380952380952
0,21,0.0163907556138338
140,21,18198.362147406733
143,21,2688.8948642108094
151,21,4444.444444444444
143,22,16716.81711802073
151,22,5793.742757821553
361,22,12380.83446824316
136,23,11405.109489051094
142,23,8136.696501220504
336,23,9980.039920159681
337,23,3667.0333700036667
293,24,8810.57268722467
294,24,3087.3726458783576
304,24,9276.437847866418
322,24,23424.689622862497
334,24,9469.69696969697
342,25,13299.640909695438
343,25,4198.152812762385
360,25,23030.86135421465
362,25,7645.25993883792
363,25,9775.171065493645
364,25,9345.794392523365
356,26,23391.812865497075
357,26,24764.73501733531
358,26,6807.351940095304
359,26,11135.8574610245
369,26,19293.84526336099
370,26,12388.503468780971
371,26,25713.551041398816
88,27,12904.89095367144
312,27,10128.633647320976
314,27,6688.963210702341
348,27,9267.840593141798
349,27,22089.68411751712
351,27,15243.902439024392
352,27,18018.018018018018
386,27,19719.976336028398
267,28,7225.43352601156
270,28,14501.160092807424
275,28,6830.601092896174
276,28,7974.481658692184
285,28,9380.863039399625
286,28,10041.168792047394
288,28,10144.045445323596
289,28,11113.580795732385
233,29,1487.652484379649
245,29,3834.355828220859
250,29,4355.4006968641115
251,29,10938.525486764383
265,29,2635.046113306983
124,30,23025.558369790466
