shrine_id,deity_id
1,21
1,9
1,18
1,23
1,14
2,8
2,18
2,10
3,16
3,23
3,4
3,7
3,2
3,15
3,17
3,19
3,5
4,1
5,16
5,3
5,12
6,20
6,9
8,4
9,18
9,9
9,19
10,11
10,6
11,13
