"","品　　　名","分別区分","備　　　考"
"","縫い針","燃やせないごみ","厚紙に包むなど、針の部分を保護してください"
"","ぬか","燃やせるごみ",""
"ぬ","","",""
"","","","雨の日や雨の降りそうな日は出さないでください"
"","布切れ（ハンカチ以上の大きさのもの）","古紙・古着",""
"","","","汚れているものは[燃やせるごみ]"
"","ぬり絵","古紙・古着",""
"","","","直径10cm以内にして45Lまでの透明・半透明の袋で出してくださ"
"","根（樹木）","燃やせるごみ",""
"","","","い"
"","","","雨の日や雨の降りそうな日は出さないでください"
"","ネクタイ","古紙・古着",""
"","","","汚れているものは[燃やせるごみ]"
"","ネクタイピン","燃やせないごみ",""
"ね","ネジ","燃やせないごみ","金属製のものは「リサイクル広場」に無料で持込めます"
"","ネット（みかんなどの果物が入っていたもの）","燃やせるごみ",""
"","寝袋","燃やせるごみ","60cm以下に切ってください"
"","粘着テープ","燃やせるごみ",""
"","ねんど","燃やせないごみ","紙ねんどは[燃やせるごみ]"
"","農機具","燃やせないごみ","指定袋に入らないものは[粗大ごみ]"
"","","","販売店等に処理を依頼してください"
"","農薬","収集しません",""
"","","","不明な場合は、循環型施設管理課へお問い合わせください"
"","農薬の容器（ビン・プラスチック製）","燃やせないごみ","中身は使い切ってください"
"","ノート","古紙・古着","個人情報の取り扱いに注意してください"
"の","","","資源有効利用促進法対象品。メーカーに処理を依頼してください"
"","ノートパソコン","収集しません",""
"","","","宅配回収サービスがあります
パソコンの出し方/町田市HP"
"","","","厚紙に包むなど、刃の部分を保護してください"
"","ノコギリ","燃やせないごみ",""
"","","","「リサイクル広場」に無料で持込めます"
"","","","厚紙に包むなど、刃の部分を保護してください"
"","ノミ","燃やせないごみ",""
"","","","「リサイクル広場」に無料で持込めます"
"","のり（工作用）の容器 （プラスチック製）","燃やせるごみ",""
"","ハーモニカ","燃やせないごみ","金属製のものは「リサイクル広場」に無料で持込めます"
"","","","水でしめらせてください"
"","灰","燃やせるごみ",""
"","","","1回に５Lの指定袋で１袋まで"
"","バイク","収集しません","販売店等に処理を依頼してください"
"","パイプ椅子","粗大ごみ",""
"","廃油（灯油・ガソリンなど）","収集しません","販売店等に処理を依頼してください"
"","ハエたたき","燃やせないごみ",""
"","はがき","古紙・古着","個人情報の取り扱いに注意してください"
"","はく製","燃やせるごみ","指定袋に入らないものは[粗大ごみ]"
"","白熱電球","燃やせないごみ",""
"","はけ（木製）","燃やせるごみ",""
"","はけ（木製以外）","燃やせないごみ",""
"","バケツ","燃やせないごみ","金属製のものは「リサイクル広場」に無料で持込めます"
"","","","ガムテープなどで刃の部分を保護してください"
"は","ハサミ","燃やせないごみ",""
"","","","「リサイクル広場」に無料で持込めます"
"","はし・はし箱（木・竹製）","燃やせるごみ",""
"","はし・はし箱（木・竹製以外）","燃やせないごみ","金属製のものは「リサイクル広場」に無料で持込めます"
"","はしご","粗大ごみ",""
"","","","60cm以下に切ってください"
"","肌かけ","燃やせるごみ",""
"","","","指定袋に入らないものは[粗大ごみ]"
"","鉢 発","燃やせないごみ","「リサイクル広場」に無料で持込めます"
"","電機","粗大ごみ","10kg以内で、指定袋に入る大きさのものは[燃やせないごみ]"
"","バスマット（すべり止め付き）","燃やせるごみ",""
"","バスマット（布製）","古紙・古着",""
"","パズルマット","燃やせるごみ",""
"","","","資源有効利用促進法対象品　メーカーに処理を依頼してください"
"","パソコン・パソコンのモニター","収集しません",""
"","","","宅配回収サービスがあります
パソコンの出し方/町田市HP"
"","バッテリー（充電式含む）","","ポータブルバッテリーは小型家電回収ボックス または「リサイクル"
"","","有害ごみ",""
"","※自動車・バイク用を除く","","広場」に無料で持込めます
小型家電回収ボックスの詳細はこちら"
