"","品　　　名","分別区分","備　　　考"
"","","","小型家電回収ボックス（30cm×15cm）の投入口に入るもの"
"","","拠点回収",""
"","","","小型家電回収ボックスの詳細はこちら"
"","ファックス機器","",""
"","","燃やせないごみ","指定袋に入らない、または10㎏を超えるものは[粗大ごみ]"
"","ファンシーケース","燃やせないごみ","指定袋に入らないものは[粗大ごみ]"
"","ファンヒーター","粗大ごみ","指定袋に入る大きさのものは[燃やせないごみ]"
"","フィルム（ネガ・スライド）","燃やせるごみ",""
"","フィルムケース","燃やせないごみ",""
"","1～12番地区","燃やせるごみ",""
"","風船","",""
"","13番（小山ヶ丘）地区","燃やせないごみ",""
"","","","プラスチック窓は、はがしてください"
"","封筒","古紙・古着",""
"","","","プラスチック窓は[燃やせるごみ]"
"","袋（レジ袋）","燃やせるごみ",""
"","ブックカバー","燃やせるごみ",""
"","仏壇","粗大ごみ","指定袋に入る大きさのものは[燃やせないごみ]"
"","筆 筆","燃やせるごみ",""
"","箱（木製）","燃やせるごみ",""
"","筆箱（プラスチック製）","燃やせないごみ",""
"","","","1日に10枚まで　60㎝四方に切れば[燃やせるごみ]"
"","ふとん","粗大ごみ",""
"","","","羽毛ふとんは[粗大ごみ]"
"","","","雨の日や雨の降りそうな日は出さないでください"
"","ふとんカバー","古紙・古着",""
"","","","汚れているものは[燃やせるごみ]"
"","ふとん乾燥機","燃やせないごみ","指定袋に入らないものは[粗大ごみ]"
"","フライパン","燃やせないごみ","「リサイクル広場」に無料で持込めます"
"ふ","","",""
"","ブラインド","粗大ごみ",""
"","ぶら下がり健康器","粗大ごみ",""
"","プラモデル","燃やせないごみ",""
"","プランター（木製）","燃やせるごみ","土を取り除いてください"
"","プランター（木製以外）","燃やせないごみ","土を取り除いてください"
"","","","小型家電回収ボックス（30cm×15cm）の投入口に入るもの"
"","","拠点回収",""
"","","","小型家電回収ボックスの詳細はこちら"
"","プリンター","",""
"","","燃やせないごみ","指定袋に入らない、または10㎏を超えるものは[粗大ごみ]"
"","プリンのふた（プラスチック製）","燃やせるごみ",""
"","プリンの容器（プラスチック製）","燃やせるごみ",""
"","ブルーシート","燃やせないごみ","60ｃｍ以下に切れば[燃やせるごみ]"
"","古本","古紙・古着",""
"","フロアマット（ジョイントマット）","燃やせないごみ",""
"","風呂釜","粗大ごみ",""
"","","","指定袋に入る大きさのものは[燃やせないごみ]、"
"","","","または小型家電回収ボックス（30cm×15cmの投入口に入るも"
"","プロジェクター","粗大ごみ",""
"","","","の）へ"
"","","","小型家電回収ボックスの詳細はこちら"
"","フロッピーディスク","燃やせないごみ",""
"","風呂マット（スポンジ製）","燃やせるごみ","60cm以下に切ってください"
"","風呂用品（木製）","燃やせるごみ",""
"","風呂用品（プラスチック製）","燃やせないごみ",""
"","粉末飲料の外包装（プラスチック製）","燃やせるごみ",""
"","ヘアカラーのプラスチックチューブ","燃やせるごみ",""
"","","","中身は使い切ってください"
"","","","[燃やせないごみ]には出さないでください"
"","ヘアカラーのスプレー缶","ビン・カン",""
"","","","特別指定団体（小山田桜台・公社森野住宅・シーアイハイツ・"
"","","","都営武蔵岡住宅・玉川学園と東玉川学園の一部）は[有害ごみ]"
"へ","","",""
"","ヘアーピン","燃やせないごみ","金属製のものは「リサイクル広場」に無料で持込めます"
"","ベッド","粗大ごみ",""
"","","","汚れているもの、綿入りのものは[燃やせないごみ]"
"","ベッドカバー","古紙・古着",""
"","","","60㎝以下に切れば[燃やせるごみ]"
